order_id,order_date,customer_id,customer_name,region,category,subcategory,segment,sales_channel,payment_method,quantity,unit_price,discount,sales,cost,profit
ORD-10001,2025-04-13,CUST-1062,Customer 48,North,Furniture,Desk,Home Office,Partner,UPI,8,8464.2,0.0,67713.6,38699.24,29014.36
ORD-10002,2025-12-15,CUST-1057,Customer 136,East,Electronics,Laptop,Consumer,Online,Debit Card,10,1929.9,0.15,16404.15,11038.17,5365.98
ORD-10003,2025-09-28,CUST-1054,Customer 58,West,Clothing,Jeans,Home Office,Partner,Cash,9,36846.46,0.0,331618.14,213351.59,118266.55
ORD-10004,2025-04-17,CUST-1070,Customer 101,West,Office Supplies,Printer Ink,Home Office,Online,Credit Card,7,33223.85,0.1,209310.25,157639.12,51671.13
ORD-10005,2025-03-13,CUST-1101,Customer 112,East,Clothing,Shoes,Consumer,Partner,Debit Card,3,23784.08,0.0,71352.24,52210.84,19141.4
ORD-10006,2025-07-08,CUST-1057,Customer 62,South,Clothing,Jacket,Home Office,Retail Store,Cash,3,42224.11,0.2,101337.86,66819.97,34517.89
ORD-10007,2025-01-21,CUST-1138,Customer 39,Central,Furniture,Cabinet,Consumer,Online,Net Banking,2,40302.94,0.05,76575.59,47122.15,29453.44
ORD-10008,2025-04-13,CUST-1135,Customer 58,West,Office Supplies,Pen,Consumer,Online,UPI,5,29309.18,0.05,139218.6,117836.13,21382.47
ORD-10009,2025-05-02,CUST-1103,Customer 99,East,Clothing,Shoes,Home Office,Online,Debit Card,3,43426.74,0.0,130280.22,89398.35,40881.87
ORD-10010,2025-08-03,CUST-1085,Customer 44,East,Electronics,Headphones,Home Office,Partner,Credit Card,6,10371.48,0.05,59117.44,44721.3,14396.14
ORD-10011,2025-11-27,CUST-1061,Customer 29,South,Electronics,Laptop,Corporate,Retail Store,Net Banking,2,5684.79,0.15,9664.14,5722.77,3941.37
ORD-10012,2025-03-29,CUST-1003,Customer 59,South,Food,Beverages,Home Office,Online,Cash,3,13560.51,0.2,32545.22,22640.96,9904.26
ORD-10013,2025-04-10,CUST-1128,Customer 71,North,Office Supplies,Paper,Corporate,Online,UPI,5,2948.63,0.05,14005.99,7819.0,6186.99
ORD-10014,2025-12-26,CUST-1086,Customer 92,West,Office Supplies,Binder,Home Office,Online,Credit Card,1,26605.36,0.05,25275.09,17733.93,7541.16
ORD-10015,2025-06-01,CUST-1047,Customer 9,North,Food,Packaged Food,Consumer,Online,Cash,1,46836.62,0.1,42152.96,35374.98,6777.98
