Order_ID,Order_Date,Region,Category,Product,Units,Unit_Price,Discount,Revenue,Cost,Profit,Sales_Channel
ORD0001,2025-01-01,East,Accessories,Mouse,9,92.01,0.05,786.69,650.27,136.42,Online
ORD0002,2025-01-01,West,Furniture,Desk,2,490.87,0.0,981.74,711.66,270.08,Online
ORD0003,2025-01-02,North,Electronics,Monitor,3,1007.82,0.05,2872.29,1859.63,1012.66,Retail
ORD0004,2025-01-03,East,Furniture,Bookshelf,3,288.22,0.2,691.73,499.89,191.84,Online
ORD0005,2025-01-04,East,Electronics,Keyboard,1,999.31,0.0,999.31,774.44,224.87,Online
ORD0006,2025-01-04,West,Furniture,Desk,8,157.6,0.1,1134.72,614.36,520.36,Online
ORD0007,2025-01-05,North,Office Supplies,Notebook,6,70.63,0.15,360.21,231.78,128.43,Online
ORD0008,2025-01-06,North,Accessories,Webcam,8,470.15,0.05,3573.14,2836.83,736.31,Online
ORD0009,2025-01-07,East,Electronics,Monitor,9,58.53,0.0,526.77,334.15,192.62,Retail
ORD0010,2025-01-07,South,Electronics,Keyboard,5,1149.37,0.2,4597.48,3218.95,1378.53,Online
ORD0011,2025-01-08,East,Accessories,Laptop Stand,3,994.05,0.0,2982.15,2104.56,877.59,Retail
ORD0012,2025-01-09,East,Electronics,Keyboard,5,963.91,0.2,3855.64,2176.77,1678.87,Online
ORD0013,2025-01-10,East,Electronics,Laptop,5,761.29,0.1,3425.8,2147.23,1278.57,Partner
ORD0014,2025-01-10,East,Furniture,Bookshelf,5,271.34,0.15,1153.19,711.61,441.58,Partner
ORD0015,2025-01-11,West,Electronics,Headphones,3,629.14,0.1,1698.68,864.91,833.77,Partner
ORD0016,2025-01-12,North,Office Supplies,Printer Paper,10,722.77,0.05,6866.32,3491.3,3375.02,Partner
ORD0017,2025-01-13,West,Office Supplies,Stapler,4,637.16,0.0,2548.64,2016.21,532.43,Retail
ORD0018,2025-01-13,West,Accessories,Laptop Stand,9,323.38,0.2,2328.34,1386.7,941.64,Retail
ORD0019,2025-01-14,West,Electronics,Headphones,10,625.57,0.2,5004.56,3409.74,1594.82,Online
ORD0020,2025-01-15,East,Accessories,Webcam,9,597.06,0.0,5373.54,3248.59,2124.95,Partner
ORD0021,2025-01-16,South,Office Supplies,Stapler,2,1195.66,0.0,2391.32,1982.97,408.35,Retail
ORD0022,2025-01-16,North,Electronics,Headphones,8,1078.46,0.05,8196.3,4842.0,3354.3,Online
ORD0023,2025-01-17,South,Electronics,Headphones,8,564.11,0.1,4061.59,2641.58,1420.01,Online
ORD0024,2025-01-18,West,Accessories,Mouse,7,753.18,0.2,4217.81,3397.26,820.55,Retail
ORD0025,2025-01-19,West,Office Supplies,Stapler,8,901.23,0.05,6849.35,5443.02,1406.33,Partner
ORD0026,2025-01-19,South,Electronics,Monitor,3,56.32,0.1,152.06,85.93,66.13,Online
ORD0027,2025-01-20,South,Accessories,Laptop Stand,6,1075.48,0.05,6130.24,4787.26,1342.98,Partner
ORD0028,2025-01-21,South,Office Supplies,Stapler,1,1034.25,0.2,827.4,546.39,281.01,Partner
ORD0029,2025-01-22,West,Accessories,Webcam,7,557.06,0.0,3899.42,2608.86,1290.56,Partner
ORD0030,2025-01-23,West,Furniture,Cabinet,1,478.54,0.0,478.54,261.63,216.91,Online
ORD0031,2025-01-23,North,Electronics,Monitor,9,338.46,0.1,2741.53,1448.11,1293.42,Partner
ORD0032,2025-01-24,North,Furniture,Cabinet,1,579.86,0.15,492.88,372.02,120.86,Online
ORD0033,2025-01-25,West,Office Supplies,Printer Paper,1,67.59,0.1,60.83,40.98,19.85,Partner
ORD0034,2025-01-26,South,Furniture,Cabinet,7,1024.85,0.15,6097.86,3981.28,2116.58,Online
ORD0035,2025-01-26,South,Furniture,Cabinet,2,56.98,0.05,108.26,81.77,26.49,Partner
