Customer_ID,Signup_Date,Age,Gender,City,Customer_Segment,Orders,Avg_Order_Value,Last_Purchase_Date,Satisfaction_Score,Referral,Lifetime_Value
CUST0001,2024-08-29,43,Female,Hyderabad,Regular,4,953.28,2026-05-26,1.3,No,3813.12
CUST0002,2024-01-05,33,Female,Hyderabad,Regular,7,718.75,2025-08-31,2.2,No,5031.25
CUST0003,2025-08-18,42,Female,Mumbai,Regular,7,3004.08,2026-02-22,3.6,No,21028.56
CUST0004,2024-12-26,45,Male,Kolkata,Regular,6,3232.35,2025-08-02,2.0,No,19394.1
CUST0005,2025-04-03,26,Male,Delhi,Regular,13,1984.83,2026-08-25,2.1,Yes,25802.79
CUST0006,2024-09-04,18,Female,Pune,New,7,2793.21,2025-12-21,4.3,No,19552.47
CUST0007,2025-07-19,46,Male,Mumbai,New,9,3994.9,2025-11-29,3.3,Yes,35954.1
CUST0008,2025-11-03,39,Male,Delhi,New,6,4135.99,2026-03-05,3.0,No,24815.94
CUST0009,2025-02-25,33,Female,Bengaluru,Premium,5,4800.08,2025-03-18,2.3,Yes,24000.4
CUST0010,2024-01-15,58,Female,Hyderabad,New,9,4165.27,2024-05-29,3.9,No,37487.43
CUST0011,2025-07-26,61,Male,Chennai,New,5,2933.0,2027-02-20,2.2,No,14665.0
CUST0012,2024-05-01,58,Female,Pune,Premium,6,1103.37,2025-04-06,3.9,Yes,6620.22
CUST0013,2024-10-03,24,Male,Chennai,Premium,6,723.88,2025-07-22,1.3,Yes,4343.28
CUST0014,2025-07-11,31,Female,Hyderabad,Regular,7,508.93,2025-12-07,4.5,No,3562.51
CUST0015,2025-03-28,46,Female,Kolkata,New,4,3416.0,2026-05-12,3.0,No,13664.0
CUST0016,2025-01-24,36,Male,Kolkata,New,2,4085.8,2025-05-10,2.8,No,8171.6
CUST0017,2024-10-20,36,Other,Chennai,Regular,6,2666.25,2026-03-30,3.4,No,15997.5
CUST0018,2025-07-27,19,Female,Bengaluru,New,8,509.89,2027-02-25,3.5,No,4079.12
CUST0019,2025-08-20,58,Female,Delhi,New,5,2793.49,2025-11-06,1.5,No,13967.45
CUST0020,2025-03-21,62,Female,Bengaluru,Regular,7,4694.81,2025-07-26,4.0,No,32863.67
CUST0021,2024-07-28,32,Female,Chennai,Premium,6,3088.66,2024-10-04,2.1,No,18531.96
CUST0022,2025-08-12,20,Female,Bengaluru,New,7,4094.78,2025-09-23,4.6,No,28663.46
CUST0023,2025-12-14,28,Male,Hyderabad,Regular,8,4050.73,2026-11-06,4.3,No,32405.84
CUST0024,2024-10-28,63,Female,Pune,Regular,5,4677.61,2024-12-26,2.4,No,23388.05
CUST0025,2024-08-10,47,Female,Bengaluru,New,2,3908.59,2025-12-21,4.2,No,7817.18
CUST0026,2024-01-03,57,Male,Hyderabad,Regular,4,3801.58,2024-01-31,2.4,No,15206.32
CUST0027,2025-06-01,35,Female,Pune,New,8,1361.99,2025-12-24,1.4,No,10895.92
CUST0028,2024-04-02,65,Female,Kolkata,New,5,534.64,2025-07-05,4.8,No,2673.2
CUST0029,2025-06-03,19,Female,Delhi,Regular,4,2708.6,2026-12-23,3.6,Yes,10834.4
CUST0030,2025-03-03,49,Other,Chennai,New,7,841.06,2026-06-07,2.8,No,5887.42
CUST0031,2025-05-07,25,Female,Kolkata,Premium,4,4820.43,2026-03-01,2.6,No,19281.72
CUST0032,2024-08-22,39,Male,Delhi,New,11,1627.14,2025-01-19,2.3,Yes,17898.54
CUST0033,2025-09-11,23,Male,Kolkata,Regular,8,4301.48,2025-12-13,4.9,No,34411.84
