Employee_ID,Department,Job_Level,Location,Join_Date,Age,Monthly_Salary,Performance_Score,Training_Hours,Projects_Completed,Overtime_Hours,Attrition
EMP0001,HR,Mid,Delhi,2022-08-27,40,71008,3.4,23,5,13,No
EMP0002,HR,Senior,Delhi,2024-06-03,35,86920,3.5,2,7,35,No
EMP0003,Operations,Lead,Bengaluru,2018-08-21,25,138828,3.6,61,14,7,No
EMP0004,Sales,Junior,Mumbai,2023-04-11,33,148852,3.5,1,14,39,No
EMP0005,Finance,Mid,Mumbai,2024-05-07,32,157698,3.2,65,14,21,No
EMP0006,Sales,Mid,Pune,2021-08-12,41,115815,4.9,41,15,21,No
EMP0007,IT,Mid,Pune,2025-06-17,57,63311,3.9,33,0,15,No
EMP0008,Marketing,Mid,Bengaluru,2019-12-07,26,57356,4.1,41,10,26,Yes
EMP0009,HR,Junior,Mumbai,2018-08-22,27,28809,4.5,19,10,9,No
EMP0010,IT,Senior,Mumbai,2021-10-23,46,59875,1.9,67,12,24,Yes
EMP0011,Operations,Mid,Pune,2025-12-02,28,34465,1.3,44,15,30,No
EMP0012,HR,Junior,Pune,2021-06-09,29,98844,2.9,74,8,20,No
EMP0013,Finance,Senior,Bengaluru,2023-03-12,47,111889,3.1,41,4,26,No
EMP0014,HR,Senior,Mumbai,2024-12-13,24,40250,4.3,46,4,16,No
EMP0015,Marketing,Mid,Delhi,2024-12-25,41,71023,2.8,4,12,32,No
EMP0016,Sales,Junior,Pune,2020-06-08,51,126350,3.3,48,15,30,No
EMP0017,Marketing,Mid,Bengaluru,2019-08-15,41,41427,3.1,36,11,25,No
EMP0018,Marketing,Junior,Mumbai,2020-01-16,60,96643,1.2,33,4,20,No
EMP0019,Sales,Junior,Mumbai,2022-09-16,45,159511,3.5,72,5,35,No
EMP0020,HR,Senior,Pune,2019-03-04,59,103672,4.3,69,1,0,No
EMP0021,Operations,Junior,Bengaluru,2025-07-07,35,42300,1.6,17,5,3,No
EMP0022,Sales,Junior,Delhi,2025-05-17,55,85289,3.4,77,13,3,No
EMP0023,Sales,Junior,Pune,2020-01-02,57,173254,3.4,18,10,25,No
EMP0024,Finance,Junior,Bengaluru,2020-03-10,48,44659,1.7,77,3,3,No
EMP0025,HR,Junior,Mumbai,2024-08-08,34,35360,1.5,39,7,8,No
EMP0026,Sales,Lead,Delhi,2018-07-21,24,46424,4.9,16,12,29,No
EMP0027,Operations,Junior,Bengaluru,2026-01-08,40,123035,2.6,59,10,3,No
EMP0028,IT,Junior,Delhi,2024-01-03,54,73791,1.9,41,8,4,No
EMP0029,HR,Junior,Bengaluru,2020-04-15,32,159137,1.7,80,8,22,No
EMP0030,Finance,Lead,Bengaluru,2025-05-10,53,37300,3.7,71,7,15,Yes
EMP0031,Marketing,Mid,Bengaluru,2018-05-15,44,58370,3.4,64,2,21,Yes
EMP0032,Sales,Mid,Bengaluru,2025-04-27,40,52209,3.6,52,9,36,No
EMP0033,Operations,Senior,Delhi,2021-07-11,25,45927,1.4,6,15,7,No
EMP0034,HR,Mid,Pune,2023-10-13,58,59579,4.6,4,10,32,No
EMP0035,Operations,Mid,Delhi,2024-12-13,50,34032,2.6,23,10,37,No
EMP0036,Operations,Junior,Bengaluru,2018-02-10,44,118254,2.3,27,3,15,No
EMP0037,Marketing,Mid,Delhi,2020-07-01,60,103413,2.8,61,15,4,No
EMP0038,Finance,Mid,Delhi,2022-09-26,27,138528,2.6,16,0,15,No
EMP0039,HR,Mid,Delhi,2020-09-01,56,148916,4.5,19,8,6,No
EMP0040,Sales,Junior,Bengaluru,2021-02-07,58,97302,4.7,2,4,0,No
EMP0041,Finance,Mid,Delhi,2024-08-12,36,110757,2.2,36,5,8,Yes
EMP0042,Sales,Junior,Mumbai,2021-12-30,35,40932,4.5,14,15,17,No
EMP0043,IT,Junior,Bengaluru,2026-02-13,43,50714,4.1,50,2,2,No
EMP0044,Operations,Mid,Delhi,2023-08-03,32,82803,4.7,47,15,23,No
EMP0045,IT,Lead,Mumbai,2018-09-01,49,158624,2.0,7,10,27,No
EMP0046,Operations,Mid,Delhi,2026-01-28,35,81627,3.3,12,9,9,No
EMP0047,Marketing,Mid,Pune,2018-06-15,49,104810,2.1,47,7,8,Yes
EMP0048,Finance,Junior,Delhi,2020-11-15,41,70380,4.3,2,14,12,No
EMP0049,Sales,Junior,Delhi,2022-02-06,35,89686,1.0,64,6,34,Yes
