Campaign_ID,Date,Channel,Campaign_Type,Impressions,Clicks,Leads,Conversions,Spend,Revenue,CTR,Conversion_Rate,ROAS
CAM0001,2025-08-03,YouTube,Retargeting,228059,24376,2523,474,88263.79,260719.82,10.69,1.94,2.95
CAM0002,2025-10-08,Google Ads,Lead Generation,48168,1683,4145,142,44717.18,88181.45,3.49,8.44,1.97
CAM0003,2025-08-08,YouTube,Awareness,255396,6804,4280,251,59099.89,39515.11,2.66,3.69,0.67
CAM0004,2025-10-16,Google Ads,Retargeting,255481,8088,3613,294,14349.19,256739.02,3.17,3.64,17.89
CAM0005,2025-12-10,Facebook,Retargeting,322006,23067,1226,610,837.09,176637.13,7.16,2.64,211.01
CAM0006,2025-07-13,Email,Conversion,487838,18059,2301,136,24906.36,266838.63,3.7,0.75,10.71
CAM0007,2025-06-07,Email,Lead Generation,480241,28622,4941,484,70606.31,281410.33,5.96,1.69,3.99
CAM0008,2025-04-14,Google Ads,Retargeting,33004,23419,3821,789,10369.86,17034.89,70.96,3.37,1.64
CAM0009,2025-02-03,Facebook,Retargeting,287615,10053,941,312,90934.3,150789.82,3.5,3.1,1.66
CAM0010,2025-04-12,YouTube,Awareness,96820,26667,2148,814,21894.75,113114.4,27.54,3.05,5.17
CAM0011,2025-05-07,Email,Conversion,196239,27855,4012,555,20857.06,188131.66,14.19,1.99,9.02
CAM0012,2025-08-02,Google Ads,Retargeting,107229,28002,2988,632,18560.04,238283.77,26.11,2.26,12.84
CAM0013,2025-11-21,YouTube,Awareness,482044,22660,3902,732,1891.18,84896.47,4.7,3.23,44.89
CAM0014,2025-10-23,Facebook,Retargeting,332452,25722,4605,46,77294.64,167482.72,7.74,0.18,2.17
CAM0015,2025-06-28,Instagram,Retargeting,351113,27568,2928,236,87565.94,212909.85,7.85,0.86,2.43
CAM0016,2025-03-21,Facebook,Retargeting,19568,2713,2574,48,61609.19,41194.89,13.86,1.77,0.67
CAM0017,2025-05-21,Facebook,Awareness,14466,3992,1773,198,19225.9,244406.0,27.6,4.96,12.71
CAM0018,2025-01-31,YouTube,Lead Generation,227129,12436,2180,84,28885.16,182226.77,5.48,0.68,6.31
CAM0019,2025-03-04,YouTube,Retargeting,62324,25137,345,543,47854.71,284911.69,40.33,2.16,5.95
CAM0020,2025-02-17,LinkedIn,Retargeting,369352,6833,1186,161,95457.42,102519.15,1.85,2.36,1.07
CAM0021,2025-03-28,LinkedIn,Lead Generation,151539,4531,3031,428,25111.46,33335.64,2.99,9.45,1.33
CAM0022,2025-10-31,YouTube,Retargeting,495771,24596,788,71,73298.77,152443.86,4.96,0.29,2.08
CAM0023,2025-03-02,YouTube,Conversion,80955,17865,1195,520,44225.1,26657.42,22.07,2.91,0.6
