SKU,Product_Category,Warehouse,Stock_On_Hand,Reorder_Level,Units_Sold_30D,Unit_Cost,Supplier_Rating,Lead_Time_Days,Defective_Units
SKU0001,Accessories,WH-Delhi,412,109,235,2325.91,2.5,1,14
SKU0002,Electronics,WH-Pune,228,114,127,635.16,3.8,26,13
SKU0003,Accessories,WH-Pune,189,88,208,1364.94,2.5,17,14
SKU0004,Stationery,WH-Pune,315,146,185,477.17,3.7,17,9
SKU0005,Home,WH-Pune,123,71,168,2873.01,4.5,14,8
SKU0006,Home,WH-Delhi,83,82,171,2338.43,2.1,10,11
SKU0007,Furniture,WH-Pune,296,55,259,2212.8,3.3,30,6
SKU0008,Accessories,WH-Bengaluru,214,110,204,2073.72,3.4,8,4
SKU0009,Electronics,WH-Bengaluru,236,72,134,1275.78,4.4,8,9
SKU0010,Electronics,WH-Pune,465,128,45,2770.61,3.4,14,7
SKU0011,Electronics,WH-Mumbai,112,91,8,228.02,3.7,7,19
SKU0012,Stationery,WH-Bengaluru,216,34,160,2411.74,4.4,6,15
SKU0013,Accessories,WH-Bengaluru,320,132,288,653.55,3.7,4,11
SKU0014,Electronics,WH-Pune,245,88,105,978.84,3.1,1,8
SKU0015,Stationery,WH-Pune,447,135,289,1563.09,2.3,15,9
SKU0016,Home,WH-Delhi,334,23,87,2350.14,4.2,25,15
SKU0017,Furniture,WH-Bengaluru,318,94,191,2517.22,4.6,15,9
SKU0018,Accessories,WH-Pune,481,61,152,1755.36,4.9,1,8
SKU0019,Accessories,WH-Pune,431,49,136,1215.08,4.8,20,2
SKU0020,Home,WH-Delhi,403,89,272,2840.04,4.4,3,18
SKU0021,Accessories,WH-Bengaluru,373,35,148,747.1,3.9,23,10
SKU0022,Accessories,WH-Pune,36,130,187,2411.25,4.3,5,5
SKU0023,Accessories,WH-Delhi,63,123,140,1840.03,3.3,5,5
SKU0024,Accessories,WH-Pune,218,126,130,1136.92,3.8,4,14
SKU0025,Stationery,WH-Mumbai,341,142,3,14.09,3.0,17,14
SKU0026,Stationery,WH-Mumbai,498,46,262,1345.33,3.0,21,12
SKU0027,Furniture,WH-Pune,388,32,25,837.39,4.3,20,4
SKU0028,Accessories,WH-Bengaluru,33,92,23,322.0,3.4,14,13
SKU0029,Home,WH-Mumbai,38,105,265,234.72,2.6,26,1
SKU0030,Electronics,WH-Delhi,66,50,228,1049.2,2.6,29,11
SKU0031,Furniture,WH-Pune,208,22,268,1848.12,4.6,8,19
SKU0032,Electronics,WH-Delhi,317,49,124,2514.18,4.0,2,13
SKU0033,Electronics,WH-Mumbai,343,118,171,558.85,3.6,8,18
SKU0034,Accessories,WH-Bengaluru,151,118,233,1279.69,3.2,1,19
SKU0035,Home,WH-Delhi,386,105,294,1181.95,3.3,29,14
SKU0036,Electronics,WH-Mumbai,364,83,274,1545.05,2.2,4,19
SKU0037,Electronics,WH-Mumbai,198,137,75,2430.67,3.4,19,16
SKU0038,Furniture,WH-Mumbai,88,133,213,1665.4,4.4,5,13
SKU0039,Home,WH-Delhi,247,106,157,2541.5,3.2,29,17
SKU0040,Home,WH-Mumbai,322,59,203,1560.47,3.2,5,4
SKU0041,Electronics,WH-Pune,78,44,148,1815.5,2.0,21,11
SKU0042,Home,WH-Mumbai,476,114,74,1317.78,3.4,28,9
SKU0043,Furniture,WH-Pune,433,65,228,2471.06,2.1,20,7
SKU0044,Furniture,WH-Bengaluru,284,51,61,2772.24,3.7,24,5
SKU0045,Furniture,WH-Pune,329,116,57,1921.04,3.5,19,14
SKU0046,Accessories,WH-Bengaluru,31,35,273,2464.14,4.5,12,11
SKU0047,Electronics,WH-Bengaluru,86,37,107,186.42,3.7,20,5
SKU0048,Home,WH-Pune,38,94,186,2719.27,3.0,1,11
SKU0049,Furniture,WH-Bengaluru,392,20,228,574.89,3.5,7,14
SKU0050,Electronics,WH-Pune,100,144,47,777.0,4.1,17,11
SKU0051,Electronics,WH-Delhi,243,57,267,169.46,2.3,2,8
SKU0052,Accessories,WH-Bengaluru,231,64,214,2896.55,3.9,11,18
SKU0053,Home,WH-Pune,397,100,289,2557.51,4.7,7,1
SKU0054,Home,WH-Bengaluru,67,148,253,2740.42,2.9,17,12
SKU0055,Furniture,WH-Mumbai,191,51,86,2543.18,3.9,27,12
SKU0056,Furniture,WH-Pune,403,137,180,1443.8,4.5,3,7
SKU0057,Electronics,WH-Mumbai,27,59,24,2773.0,3.5,29,12
SKU0058,Home,WH-Bengaluru,269,93,221,2908.72,4.2,22,3
SKU0059,Home,WH-Bengaluru,427,130,48,1512.68,2.9,6,5
SKU0060,Furniture,WH-Delhi,225,122,174,535.12,2.9,22,5
SKU0061,Stationery,WH-Pune,76,122,273,1979.28,4.0,11,11
SKU0062,Electronics,WH-Mumbai,222,93,34,2926.56,4.1,29,11
SKU0063,Home,WH-Delhi,480,133,216,2617.72,4.8,18,16
SKU0064,Accessories,WH-Bengaluru,371,142,208,2586.83,2.7,18,6
SKU0065,Accessories,WH-Bengaluru,166,76,159,2802.12,3.4,22,14
SKU0066,Stationery,WH-Delhi,283,93,6,2682.92,2.8,10,16
SKU0067,Furniture,WH-Mumbai,191,102,268,2331.08,2.2,5,9
SKU0068,Furniture,WH-Bengaluru,88,98,125,2157.64,3.2,30,19
SKU0069,Furniture,WH-Bengaluru,31,149,89,801.65,3.1,23,5
SKU0070,Accessories,WH-Pune,136,112,41,1867.81,2.8,23,8
SKU0071,Furniture,WH-Delhi,155,69,158,1569.25,2.9,21,14
SKU0072,Accessories,WH-Bengaluru,249,48,201,2587.21,3.1,24,15
SKU0073,Stationery,WH-Mumbai,94,100,281,1480.22,5.0,26,7
SKU0074,Electronics,WH-Pune,16,29,287,391.95,4.3,22,15
SKU0075,Home,WH-Delhi,116,136,90,24.87,2.2,15,4
SKU0076,Stationery,WH-Mumbai,470,79,124,2036.84,4.6,21,17
SKU0077,Accessories,WH-Bengaluru,332,79,125,1654.23,3.9,20,19
SKU0078,Stationery,WH-Delhi,310,77,51,999.58,4.7,23,13
SKU0079,Home,WH-Delhi,9,64,102,515.23,3.0,4,1
SKU0080,Electronics,WH-Mumbai,79,143,186,1405.48,3.4,21,2
SKU0081,Home,WH-Delhi,133,45,204,309.86,4.7,21,13
SKU0082,Accessories,WH-Mumbai,431,121,13,1014.96,2.8,1,6
SKU0083,Home,WH-Bengaluru,202,70,103,1143.84,4.7,15,14
SKU0084,Stationery,WH-Pune,115,71,116,1402.2,4.5,17,16
SKU0085,Furniture,WH-Mumbai,450,70,92,1405.2,4.9,19,0
SKU0086,Stationery,WH-Pune,219,33,143,778.45,3.0,14,8
SKU0087,Accessories,WH-Delhi,252,20,109,2552.13,2.7,27,13
SKU0088,Electronics,WH-Mumbai,168,33,162,1073.08,3.0,19,15
SKU0089,Home,WH-Bengaluru,334,100,52,696.47,4.9,18,12
SKU0090,Electronics,WH-Mumbai,315,22,2,535.67,3.0,28,5
SKU0091,Accessories,WH-Mumbai,204,117,67,974.51,3.7,2,0
SKU0092,Home,WH-Mumbai,297,59,245,211.98,3.2,6,3
SKU0093,Stationery,WH-Pune,371,108,137,108.39,3.2,13,2
SKU0094,Stationery,WH-Pune,247,144,286,1819.38,2.6,17,16
SKU0095,Accessories,WH-Delhi,364,114,65,1861.25,3.6,6,1
SKU0096,Home,WH-Delhi,464,28,154,1593.47,4.5,21,18
SKU0097,Stationery,WH-Delhi,70,113,86,2289.23,2.1,22,19
SKU0098,Accessories,WH-Delhi,155,103,32,127.06,4.7,5,7
SKU0099,Accessories,WH-Mumbai,101,40,67,2808.56,4.0,7,14
SKU0100,Electronics,WH-Pune,12,44,186,294.24,3.9,1,5
SKU0101,Stationery,WH-Pune,464,121,191,2025.33,3.9,13,19
SKU0102,Home,WH-Pune,270,141,212,408.86,2.9,19,1
SKU0103,Stationery,WH-Pune,291,44,87,2640.92,3.2,22,14
SKU0104,Stationery,WH-Delhi,219,122,107,1537.03,4.4,1,19
SKU0105,Stationery,WH-Mumbai,14,76,239,256.06,2.9,13,11
SKU0106,Accessories,WH-Pune,237,56,215,1854.01,3.4,11,2
SKU0107,Furniture,WH-Bengaluru,116,35,176,37.24,2.1,27,9
SKU0108,Furniture,WH-Mumbai,330,56,52,2330.31,4.2,7,13
SKU0109,Electronics,WH-Bengaluru,55,95,48,1955.25,3.3,20,13
SKU0110,Stationery,WH-Mumbai,350,45,113,645.75,3.6,3,2
SKU0111,Furniture,WH-Mumbai,131,39,94,1130.51,2.3,26,0
SKU0112,Electronics,WH-Mumbai,482,122,24,33.34,5.0,25,19
SKU0113,Accessories,WH-Bengaluru,225,48,131,2084.11,2.9,1,0
SKU0114,Stationery,WH-Pune,307,50,178,974.78,3.9,8,1
SKU0115,Home,WH-Pune,474,38,144,1719.05,3.7,17,18
SKU0116,Accessories,WH-Bengaluru,393,46,197,2870.62,4.4,13,9
SKU0117,Electronics,WH-Pune,221,113,83,905.41,2.9,14,3
SKU0118,Accessories,WH-Delhi,172,104,156,2970.81,4.3,5,3
SKU0119,Home,WH-Pune,339,63,84,1901.86,3.1,26,12
SKU0120,Accessories,WH-Delhi,284,132,252,733.85,3.2,24,8
SKU0121,Electronics,WH-Delhi,308,93,71,1315.97,4.0,22,6
SKU0122,Home,WH-Delhi,156,106,222,2223.95,4.4,23,15
SKU0123,Home,WH-Bengaluru,150,113,275,1344.97,4.0,27,17
SKU0124,Accessories,WH-Pune,184,117,282,214.84,4.7,24,2
SKU0125,Home,WH-Pune,177,75,263,514.12,2.9,29,19
SKU0126,Accessories,WH-Bengaluru,20,116,245,2375.98,4.7,6,19
SKU0127,Stationery,WH-Bengaluru,111,117,60,1948.64,2.4,27,9
SKU0128,Home,WH-Pune,170,53,258,1713.78,4.0,22,15
SKU0129,Accessories,WH-Bengaluru,137,119,6,511.19,3.6,27,2
SKU0130,Stationery,WH-Bengaluru,232,33,187,2514.89,3.5,6,10
SKU0131,Home,WH-Delhi,331,131,3,2882.61,2.9,21,9
SKU0132,Stationery,WH-Bengaluru,29,94,230,132.25,3.5,8,15
SKU0133,Home,WH-Delhi,380,116,132,243.32,2.5,13,7
SKU0134,Electronics,WH-Mumbai,306,140,124,2655.33,3.1,18,8
SKU0135,Electronics,WH-Delhi,160,74,14,2448.5,2.3,23,14
SKU0136,Accessories,WH-Delhi,401,136,12,1857.62,3.7,4,2
SKU0137,Furniture,WH-Bengaluru,77,112,117,2835.45,2.3,17,3
SKU0138,Electronics,WH-Pune,277,56,239,1942.83,2.5,29,12
SKU0139,Furniture,WH-Mumbai,319,45,262,655.8,2.3,5,11
SKU0140,Stationery,WH-Mumbai,20,86,5,2188.64,3.1,3,8
SKU0141,Stationery,WH-Mumbai,384,103,230,1940.67,4.5,4,13
SKU0142,Furniture,WH-Pune,496,37,29,2957.38,4.7,23,18
SKU0143,Accessories,WH-Mumbai,362,46,21,649.55,2.2,5,6
SKU0144,Home,WH-Mumbai,371,50,155,1797.68,3.9,14,15
SKU0145,Furniture,WH-Pune,379,125,117,2342.7,4.1,15,19
SKU0146,Furniture,WH-Mumbai,142,148,192,1023.56,3.6,20,4
SKU0147,Furniture,WH-Bengaluru,35,25,194,1145.24,4.0,17,9
SKU0148,Furniture,WH-Bengaluru,302,30,167,2664.83,2.7,6,17
SKU0149,Furniture,WH-Delhi,437,37,238,1218.54,3.5,27,10
SKU0150,Accessories,WH-Delhi,213,40,243,1877.95,3.2,10,6
SKU0151,Electronics,WH-Delhi,31,38,68,2668.82,2.3,22,13
SKU0152,Home,WH-Bengaluru,185,23,94,637.38,3.9,23,19
SKU0153,Electronics,WH-Bengaluru,173,96,76,2945.81,3.5,16,17
SKU0154,Furniture,WH-Bengaluru,53,135,170,2108.84,2.8,17,10
SKU0155,Electronics,WH-Delhi,160,44,0,1493.4,3.4,14,11
SKU0156,Accessories,WH-Delhi,249,96,61,1298.45,4.3,20,17
SKU0157,Stationery,WH-Delhi,488,68,206,2863.55,4.4,12,1
SKU0158,Electronics,WH-Delhi,250,84,153,625.12,3.9,9,0
SKU0159,Home,WH-Delhi,422,102,273,941.93,3.4,15,9
SKU0160,Accessories,WH-Delhi,278,20,47,930.3,3.7,12,0
SKU0161,Stationery,WH-Bengaluru,170,100,136,874.13,3.2,14,5
SKU0162,Accessories,WH-Pune,182,40,0,1410.93,2.4,26,6
SKU0163,Furniture,WH-Pune,1,105,234,2967.65,3.2,22,16
SKU0164,Stationery,WH-Delhi,193,34,255,2667.47,3.6,18,8
SKU0165,Home,WH-Pune,165,69,106,990.57,3.8,20,6
SKU0166,Stationery,WH-Pune,246,67,172,1274.38,4.8,6,16
SKU0167,Home,WH-Bengaluru,498,68,129,2011.75,4.3,4,2
SKU0168,Furniture,WH-Delhi,412,127,293,61.28,2.5,26,15
SKU0169,Home,WH-Delhi,243,64,39,2462.26,2.5,23,4
SKU0170,Accessories,WH-Pune,109,51,15,2640.6,2.3,12,19
SKU0171,Electronics,WH-Delhi,379,116,126,2573.03,4.2,13,17
SKU0172,Accessories,WH-Delhi,322,99,202,1131.41,4.1,19,0
SKU0173,Accessories,WH-Delhi,486,73,133,1391.38,5.0,22,3
SKU0174,Stationery,WH-Delhi,70,146,258,47.04,3.6,13,10
SKU0175,Furniture,WH-Pune,163,85,13,1204.19,4.5,12,19
SKU0176,Electronics,WH-Mumbai,284,128,65,1386.68,3.7,20,8
SKU0177,Home,WH-Pune,374,42,194,2721.85,4.6,3,7
SKU0178,Stationery,WH-Bengaluru,420,126,113,2683.02,4.2,28,7
SKU0179,Furniture,WH-Mumbai,112,70,158,2898.63,3.9,3,4
SKU0180,Electronics,WH-Mumbai,227,91,160,2656.46,3.7,14,11
SKU0181,Accessories,WH-Mumbai,470,122,253,34.52,4.2,18,0
SKU0182,Furniture,WH-Pune,300,99,14,1927.97,3.3,27,14
SKU0183,Furniture,WH-Bengaluru,15,37,36,214.03,2.3,19,17
SKU0184,Furniture,WH-Pune,495,100,154,825.06,2.1,29,5
SKU0185,Accessories,WH-Bengaluru,30,126,26,1739.14,3.4,28,9
SKU0186,Home,WH-Pune,161,88,11,2104.84,3.8,30,13
SKU0187,Stationery,WH-Pune,305,99,66,1967.35,2.2,10,7
SKU0188,Home,WH-Pune,192,61,29,156.68,2.9,17,2
SKU0189,Electronics,WH-Mumbai,209,53,95,319.78,3.0,15,18
SKU0190,Stationery,WH-Pune,377,67,214,394.47,3.7,19,11
SKU0191,Electronics,WH-Bengaluru,445,24,193,283.33,2.8,9,11
SKU0192,Accessories,WH-Bengaluru,231,135,134,542.92,2.3,4,14
SKU0193,Home,WH-Bengaluru,426,136,289,2068.58,2.5,15,6
SKU0194,Furniture,WH-Mumbai,183,127,31,2494.2,2.5,19,3
SKU0195,Stationery,WH-Pune,14,42,38,1232.35,4.5,16,8
SKU0196,Furniture,WH-Pune,431,81,205,2081.42,2.9,8,15
SKU0197,Electronics,WH-Delhi,304,32,42,608.05,4.1,17,12
SKU0198,Furniture,WH-Mumbai,208,39,258,2920.11,3.7,21,3
SKU0199,Furniture,WH-Bengaluru,171,111,248,1056.49,4.9,1,8
SKU0200,Accessories,WH-Bengaluru,265,127,73,2539.14,2.8,7,17
SKU0201,Accessories,WH-Pune,19,127,295,2836.65,2.5,21,14
SKU0202,Home,WH-Bengaluru,69,52,273,2595.49,2.2,18,14
SKU0203,Electronics,WH-Pune,7,83,189,210.53,2.7,12,5
SKU0204,Accessories,WH-Pune,428,49,137,1954.42,4.1,16,10
SKU0205,Accessories,WH-Delhi,33,127,281,369.07,2.3,30,7
SKU0206,Home,WH-Mumbai,223,92,165,26.93,2.7,1,16
SKU0207,Stationery,WH-Pune,178,128,277,164.83,4.6,27,16
SKU0208,Home,WH-Pune,245,119,25,2749.29,3.7,15,17
SKU0209,Furniture,WH-Pune,489,33,72,2726.31,2.2,7,3
SKU0210,Furniture,WH-Delhi,259,38,114,685.21,2.1,28,14
SKU0211,Accessories,WH-Pune,107,90,50,1645.71,2.2,17,1
SKU0212,Accessories,WH-Mumbai,241,78,170,2865.53,4.8,3,1
SKU0213,Home,WH-Mumbai,422,116,267,1495.15,4.5,11,9
SKU0214,Home,WH-Bengaluru,467,63,2,1186.8,4.5,6,2
SKU0215,Electronics,WH-Mumbai,23,130,209,1454.91,4.8,6,7
SKU0216,Furniture,WH-Bengaluru,215,30,114,2372.75,3.5,15,19
SKU0217,Home,WH-Mumbai,54,125,166,1437.06,2.7,7,6
SKU0218,Stationery,WH-Bengaluru,25,21,264,2352.0,3.2,11,11
SKU0219,Electronics,WH-Pune,280,144,226,1300.78,4.2,30,18
SKU0220,Home,WH-Delhi,291,113,150,763.5,4.6,27,14
SKU0221,Accessories,WH-Delhi,326,112,267,986.15,3.3,17,13
SKU0222,Home,WH-Delhi,457,23,115,242.69,3.6,23,15
