Session_ID,Date,Device,Traffic_Source,Pages_Viewed,Session_Duration_Min,Product_Views,Add_To_Cart,Checkout,Purchase,Order_Value
SES0001,2025-08-06,Mobile,Referral,14,3.04,1,No,No,Yes,2506.97
SES0002,2025-08-11,Desktop,Referral,12,20.7,1,No,No,No,11021.38
SES0003,2025-09-03,Mobile,Organic,6,2.62,11,No,No,No,7288.34
SES0004,2025-07-18,Mobile,Email,8,2.83,0,Yes,No,No,5314.5
SES0005,2025-08-09,Mobile,Direct,2,5.2,8,No,No,No,4567.71
SES0006,2025-08-17,Desktop,Direct,3,2.1,10,Yes,No,No,3331.55
SES0007,2025-08-06,Mobile,Paid,11,6.5,7,No,No,No,7288.34
SES0008,2025-11-23,Desktop,Direct,9,1.33,7,No,Yes,No,1155.51
SES0009,2025-08-04,Desktop,Email,5,1.07,0,No,Yes,Yes,13134.61
SES0010,2025-11-19,Desktop,Paid,5,4.33,4,No,No,No,11021.38
SES0011,2025-08-02,Desktop,Email,9,4.55,11,No,No,No,9905.46
SES0012,2025-07-16,Mobile,Social,10,1.06,5,No,No,No,5729.59
SES0013,2025-10-25,Desktop,Direct,3,17.15,1,No,No,No,3173.61
SES0014,2025-08-12,Desktop,Social,14,4.76,9,No,No,No,3361.74
SES0015,2025-08-10,Tablet,Referral,4,1.32,4,No,No,No,9245.98
SES0016,2025-09-18,Mobile,Referral,7,2.37,5,No,No,No,3752.42
SES0017,2025-11-25,Mobile,Organic,2,8.55,8,No,Yes,No,9905.46
SES0018,2025-08-02,Mobile,Direct,8,4.2,9,Yes,No,No,2152.97
SES0019,2025-07-11,Mobile,Paid,5,1.54,0,No,No,No,9245.98
SES0020,2025-06-07,Desktop,Social,15,1.04,9,No,No,No,0.0
SES0021,2025-10-15,Tablet,Email,1,3.32,2,No,Yes,No,7288.34
SES0022,2025-06-04,Mobile,Direct,3,2.56,11,Yes,Yes,No,1155.51
SES0023,2025-08-28,Desktop,Organic,15,5.83,8,Yes,No,No,9905.46
SES0024,2025-11-24,Mobile,Email,9,13.47,0,No,No,No,3361.74
SES0025,2025-10-12,Mobile,Social,5,1.92,0,No,No,No,8780.59
SES0026,2025-08-21,Mobile,Direct,8,10.16,0,No,No,No,2152.97
SES0027,2025-06-21,Mobile,Social,1,13.16,6,Yes,No,No,11021.38
SES0028,2025-10-21,Desktop,Direct,14,12.11,4,No,No,No,13134.61
SES0029,2025-10-06,Mobile,Direct,7,15.69,5,Yes,No,No,3173.61
SES0030,2025-09-13,Mobile,Social,7,9.73,7,Yes,No,No,10928.1
SES0031,2025-09-12,Mobile,Social,8,5.0,1,Yes,No,No,13134.61
SES0032,2025-08-07,Mobile,Email,3,3.14,1,No,No,No,4547.47
SES0033,2025-11-07,Desktop,Organic,1,3.88,2,No,No,No,7859.36
SES0034,2025-09-18,Mobile,Social,11,10.8,2,No,No,No,8780.59
SES0035,2025-11-04,Mobile,Referral,15,2.29,2,No,No,No,10928.1
SES0036,2025-08-05,Desktop,Organic,9,1.37,3,No,No,Yes,4547.47
SES0037,2025-11-09,Mobile,Referral,1,1.26,2,No,No,No,4547.47
SES0038,2025-06-27,Desktop,Email,11,9.27,1,No,No,No,2506.97
SES0039,2025-07-30,Mobile,Social,6,7.67,8,No,No,No,3331.55
SES0040,2025-09-26,Mobile,Organic,9,3.94,5,No,No,No,3331.55
SES0041,2025-11-14,Tablet,Social,14,2.11,2,No,Yes,No,3361.74
SES0042,2025-07-14,Desktop,Direct,2,6.16,8,No,No,No,3361.74
SES0043,2025-07-06,Mobile,Social,4,0.7,3,No,No,No,11021.38
SES0044,2025-06-19,Desktop,Organic,2,4.7,3,No,No,No,1155.51
SES0045,2025-08-30,Desktop,Social,4,3.04,7,Yes,No,No,4547.47
SES0046,2025-07-15,Mobile,Social,2,19.55,6,No,No,No,1155.51
SES0047,2025-10-27,Mobile,Paid,12,4.04,6,No,No,No,9905.46
SES0048,2025-10-29,Mobile,Paid,1,4.52,9,Yes,No,No,3331.55
SES0049,2025-11-02,Mobile,Organic,11,6.73,6,No,No,No,1155.51
SES0050,2025-09-06,Mobile,Organic,3,3.81,9,No,Yes,Yes,3361.74
