Ticket_ID,Created_Date,Channel,Issue_Type,Priority,Resolution_Time_Hours,First_Response_Min,Customer_Rating,Resolved,Agent_Experience_Months
TKT0001,2025-01-04,Chat,Login,Medium,2.61,111.0,1.4,Yes,79
TKT0002,2025-04-29,Phone,Account,Medium,13.85,8.5,2.3,Yes,42
TKT0003,2025-09-30,Email,Payment,Medium,20.36,23.8,2.9,Yes,45
TKT0004,2025-08-14,Web,Account,Medium,29.14,99.0,3.7,Yes,39
TKT0005,2025-12-18,Phone,Technical,Medium,20.66,19.2,3.0,Yes,65
TKT0006,2025-03-11,Phone,Payment,Critical,44.26,60.5,4.7,Yes,22
TKT0007,2025-07-01,Phone,Refund,Low,6.8,21.7,3.4,Yes,11
TKT0008,2025-12-19,Phone,Technical,Low,5.33,67.4,1.2,Yes,37
TKT0009,2025-09-21,Phone,Delivery,Medium,0.84,160.5,1.5,Yes,51
TKT0010,2025-06-30,Phone,Login,Low,7.67,21.6,4.0,Yes,58
TKT0011,2025-01-05,Chat,Refund,Medium,13.14,76.6,3.9,Yes,77
TKT0012,2025-07-16,Chat,Account,Low,20.78,180.3,1.6,Yes,7
TKT0013,2025-02-16,Phone,Payment,Medium,4.23,167.0,1.2,No,8
TKT0014,2025-02-09,Web,Refund,Medium,9.15,24.8,3.3,Yes,51
TKT0015,2025-05-02,Chat,Delivery,Low,13.52,28.6,3.5,Yes,23
TKT0016,2025-05-15,Chat,Login,Low,10.12,16.5,1.5,Yes,9
TKT0017,2025-05-20,Phone,Refund,Low,4.34,17.1,2.9,Yes,46
TKT0018,2025-12-16,Web,Account,Medium,19.59,29.1,2.2,Yes,38
TKT0019,2025-06-02,Phone,Payment,Medium,2.78,11.0,4.7,Yes,13
TKT0020,2025-01-28,Web,Refund,Medium,28.74,51.7,1.9,Yes,7
TKT0021,2025-03-18,Web,Login,Medium,37.09,32.7,3.9,Yes,11
TKT0022,2025-06-24,Email,Account,Medium,5.96,93.3,3.1,Yes,74
TKT0023,2025-02-18,Chat,Refund,Low,6.16,68.6,1.0,Yes,50
TKT0024,2025-12-08,Phone,Payment,High,16.82,17.6,3.1,Yes,67
TKT0025,2025-11-06,Chat,Login,Low,7.81,30.2,1.4,Yes,41
TKT0026,2025-10-01,Chat,Delivery,High,0.85,57.5,3.6,Yes,29
TKT0027,2025-01-27,Web,Delivery,Medium,30.79,10.6,3.3,Yes,37
TKT0028,2025-11-24,Chat,Technical,Medium,7.26,3.3,1.0,Yes,56
TKT0029,2025-08-09,Email,Refund,Medium,3.23,78.5,1.8,Yes,80
TKT0030,2025-05-02,Phone,Payment,High,10.23,7.9,4.1,Yes,16
TKT0031,2025-12-27,Chat,Refund,High,3.46,90.1,2.1,Yes,44
TKT0032,2025-03-10,Phone,Login,Medium,3.27,100.0,3.0,Yes,50
TKT0033,2025-03-12,Chat,Technical,Low,9.97,26.7,2.2,Yes,71
TKT0034,2025-05-30,Phone,Payment,High,6.45,67.8,4.7,Yes,79
TKT0035,2025-07-06,Phone,Refund,Low,10.71,20.1,3.1,Yes,6
TKT0036,2025-09-03,Phone,Payment,High,69.53,80.2,3.8,Yes,18
TKT0037,2025-07-15,Chat,Login,Medium,24.01,71.6,1.3,Yes,19
TKT0038,2025-02-01,Email,Technical,High,0.59,5.3,1.2,Yes,51
TKT0039,2025-04-19,Phone,Payment,High,1.12,36.9,2.0,Yes,66
TKT0040,2025-12-19,Web,Login,Low,11.8,42.9,2.2,Yes,3
TKT0041,2025-01-01,Web,Delivery,Medium,12.31,2.0,3.8,Yes,54
TKT0042,2025-07-01,Web,Payment,Low,25.76,158.3,3.3,Yes,49
TKT0043,2025-06-23,Email,Technical,Low,12.4,22.9,2.5,Yes,28
TKT0044,2025-06-18,Phone,Account,Medium,3.6,31.1,3.6,Yes,38
TKT0045,2025-09-05,Email,Account,Low,8.08,10.7,1.7,Yes,28
